,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,BMW.DE,NESN.SW,NIO,TSLA,AAPL,BMW.DE,NESN.SW,NIO,TSLA,AAPL,BMW.DE,NESN.SW,NIO,TSLA,AAPL,BMW.DE,NESN.SW,NIO,TSLA,AAPL,BMW.DE,NESN.SW,NIO,TSLA,AAPL,BMW.DE,NESN.SW,NIO,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,38.105133056640625,55.6685676574707,,6.199999809265137,20.674667358398438,39.47999954223633,69.73999786376953,,6.199999809265137,20.674667358398438,39.712501525878906,70.66000366210938,,6.239999771118164,21.0086669921875,38.557498931884766,68.79000091552734,,6.0,19.920000076293945,38.72249984741211,70.62999725341797,,6.130000114440918,20.406667709350586,148158800.0,1429230.0,,8823600.0,174879000.0
2019-01-03,34.30958557128906,55.1177864074707,73.50777435302734,6.050000190734863,20.02400016784668,35.54750061035156,69.05000305175781,81.23999786376953,6.050000190734863,20.02400016784668,36.43000030517578,69.80999755859375,81.5199966430664,6.150000095367432,20.626667022705078,35.5,69.0199966430664,79.86000061035156,6.019999980926514,19.825332641601562,35.994998931884766,69.22000122070312,80.83999633789062,6.099999904632568,20.46666717529297,365248800.0,1426463.0,8887247.0,7562900.0,104478000.0
2019-01-04,35.77423858642578,57.2410774230957,74.46688079833984,6.360000133514404,21.179332733154297,37.064998626708984,71.70999908447266,82.30000305175781,6.360000133514404,21.179332733154297,37.13750076293945,71.7699966430664,82.37999725341797,6.400000095367432,21.200000762939453,35.95000076293945,69.63999938964844,80.86000061035156,6.130000114440918,20.18199920654297,36.13249969482422,69.80000305175781,81.13999938964844,6.190000057220459,20.399999618530273,234428400.0,1857639.0,5292723.0,9405600.0,110911500.0
2019-01-07,35.69461441040039,57.56835174560547,73.39920043945312,6.5,22.33066749572754,36.98249816894531,72.12000274658203,81.12000274658203,6.5,22.33066749572754,37.20750045776367,72.31999969482422,82.31999969482422,6.590000152587891,22.44933319091797,36.474998474121094,71.2699966430664,80.86000061035156,6.309999942779541,21.183332443237305,37.17499923706055,71.75,82.27999877929688,6.409999847412109,21.447999954223633,219111200.0,1238553.0,4599858.0,9709000.0,113268000.0
2019-01-08,36.37506103515625,57.64019775390625,73.74302673339844,6.400000095367432,22.356666564941406,37.6875,72.20999908447266,81.5,6.400000095367432,22.356666564941406,37.95500183105469,73.68000030517578,82.12000274658203,6.579999923706055,22.93400001525879,37.130001068115234,71.27999877929688,81.0199966430664,6.170000076293945,21.801332473754883,37.38999938964844,71.8499984741211,81.12000274658203,6.570000171661377,22.797332763671875,164101200.0,1865750.0,4738141.0,9603800.0,105127500.0
2019-01-09,36.99277114868164,58.23088073730469,73.88780212402344,6.630000114440918,22.568666458129883,38.32749938964844,72.94999694824219,81.66000366210938,6.630000114440918,22.568666458129883,38.63249969482422,73.77999877929688,82.0199966430664,6.690000057220459,22.899999618530273,37.407501220703125,72.31999969482422,81.0999984741211,6.349999904632568,22.097999572753906,37.8224983215332,73.08000183105469,81.5199966430664,6.409999847412109,22.366666793823242,180396400.0,1921526.0,5530420.0,11489900.0,81493500.0
2019-01-10,37.11100387573242,57.895626068115234,75.1364517211914,6.659999847412109,22.99799919128418,38.45000076293945,72.52999877929688,83.04000091552734,6.659999847412109,22.99799919128418,38.49250030517578,72.88999938964844,83.22000122070312,6.730000019073486,23.025999069213867,37.71500015258789,71.87000274658203,81.30000305175781,6.409999847412109,22.119333267211914,38.125,72.4000015258789,81.45999908447266,6.630000114440918,22.293333053588867,143122800.0,1569810.0,5344392.0,11221100.0,90846000.0
2019-01-11,36.74665832519531,57.33686828613281,75.42599487304688,6.590000152587891,23.150667190551758,38.0724983215332,71.83000183105469,83.36000061035156,6.590000152587891,23.150667190551758,38.42499923706055,72.83999633789062,83.72000122070312,6.619999885559082,23.227333068847656,37.877498626708984,70.62999725341797,82.9000015258789,6.480000019073486,22.584667205810547,38.220001220703125,72.4000015258789,83.0,6.5,22.805999755859375,108092800.0,2009338.0,4209207.0,6902300.0,75586500.0
